Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1622419200,6828,6288,291,1,71,2
AP,1622419200,4098,3975,78,0,13,0
EA,1622419200,1932,1830,73,0,11,0
EF,1622419200,8540,8190,262,6,29,0
EIC,1622419200,6198,5877,235,1,8,0
G,1622419200,5658,5408,195,5,9,0
GRZ,1622419200,7827,7241,215,1,38,1
GTH,1622419200,8533,8153,202,11,19,0
HBN,1622419200,5295,4914,240,14,19,0
IK,1622419200,6462,6136,215,7,19,1
J,1622419200,4342,4218,75,2,11,0
KYF,1622419200,3626,3433,142,1,4,1
NDH,1622419200,2922,2778,70,3,6,0
SHK,1622419200,4690,4519,119,1,11,0
SHL,1622419200,2165,2029,110,0,3,0
SLF,1622419200,6732,6352,281,-2,12,1
SM,1622419200,9947,9440,365,2,12,0
SOK,1622419200,6399,6076,170,3,62,0
SOM,1622419200,4130,3945,130,5,11,0
SON,1622419200,4170,3895,161,13,50,2
UH,1622419200,6278,5927,248,11,16,3
WAK,1622419200,8228,7866,238,10,32,2
WE,1622419200,2599,2447,102,2,4,2
TH,1622419200,127599,120937,4217,97,470,15
