Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1598486400,82,75,4,0,0,0
AP,1598486400,85,79,4,0,1,0
EA,1598486400,37,32,4,0,0,0
EF,1598486400,170,159,2,1,3,0
EIC,1598486400,168,153,10,1,0,0
G,1598486400,271,249,22,0,0,0
GRZ,1598486400,685,631,48,0,1,0
GTH,1598486400,332,295,30,0,0,0
HBN,1598486400,90,86,1,0,0,0
IK,1598486400,158,149,6,0,1,0
J,1598486400,171,161,3,0,0,0
KYF,1598486400,62,56,0,0,0,0
NDH,1598486400,74,68,2,0,0,0
SHK,1598486400,78,72,3,1,0,0
SHL,1598486400,29,24,2,0,0,0
SLF,1598486400,78,74,0,0,2,0
SM,1598486400,195,177,5,0,0,0
SOK,1598486400,162,147,12,3,0,0
SOM,1598486400,53,46,1,1,0,0
SON,1598486400,312,288,22,0,0,0
UH,1598486400,93,90,3,0,0,0
WAK,1598486400,107,99,2,0,0,0
WE,1598486400,100,97,0,0,3,0
TH,1598486400,3592,3307,186,7,11,0
