Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1600128000,105,94,4,1,0,0
AP,1600128000,117,86,5,3,2,0
EA,1600128000,41,34,4,0,0,0
EF,1600128000,194,175,2,5,0,0
EIC,1600128000,171,160,11,0,0,0
G,1600128000,278,252,22,0,1,0
GRZ,1600128000,690,640,48,0,0,0
GTH,1600128000,350,308,30,1,0,0
HBN,1600128000,93,89,1,0,0,0
IK,1600128000,180,155,7,7,1,0
J,1600128000,193,179,3,0,0,0
KYF,1600128000,63,62,0,0,0,0
NDH,1600128000,75,72,2,0,0,0
SHK,1600128000,92,79,3,0,0,0
SHL,1600128000,33,27,2,0,0,0
SLF,1600128000,81,78,0,0,0,0
SM,1600128000,197,190,5,0,1,0
SOK,1600128000,170,152,12,0,0,0
SOM,1600128000,59,54,1,1,1,0
SON,1600128000,318,291,22,0,0,0
UH,1600128000,102,94,3,0,1,0
WAK,1600128000,113,107,2,0,0,0
WE,1600128000,119,107,0,1,0,0
TH,1600128000,3834,3485,189,19,7,0
