Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1595808000,79,73,4,0,0,0
AP,1595808000,77,71,4,0,0,0
EA,1595808000,33,28,2,1,0,0
EF,1595808000,140,138,2,0,0,0
EIC,1595808000,162,153,9,0,0,0
G,1595808000,261,237,22,0,0,0
GRZ,1595808000,668,620,48,0,0,0
GTH,1595808000,319,287,30,0,1,0
HBN,1595808000,84,75,1,0,0,0
IK,1595808000,144,135,6,0,0,0
J,1595808000,163,160,3,0,0,0
KYF,1595808000,55,52,0,0,0,0
NDH,1595808000,67,64,2,0,0,0
SHK,1595808000,73,70,3,0,0,0
SHL,1595808000,21,19,2,0,0,0
SLF,1595808000,72,72,0,0,0,0
SM,1595808000,162,154,4,0,0,0
SOK,1595808000,150,138,12,0,0,0
SOM,1595808000,42,40,1,0,0,0
SON,1595808000,306,284,22,0,0,0
UH,1595808000,92,89,3,0,0,0
WAK,1595808000,92,86,2,0,0,0
WE,1595808000,89,74,0,3,2,0
TH,1595808000,3351,3119,182,4,3,0
