Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1597017600,79,75,4,0,0,0
AP,1597017600,82,73,4,0,0,0
EA,1597017600,36,31,2,0,0,0
EF,1597017600,153,141,2,3,0,0
EIC,1597017600,163,153,9,0,0,0
G,1597017600,267,239,22,1,0,0
GRZ,1597017600,670,620,48,0,0,0
GTH,1597017600,323,289,30,0,0,0
HBN,1597017600,87,81,1,1,0,0
IK,1597017600,152,140,6,0,0,0
J,1597017600,163,160,3,0,0,0
KYF,1597017600,55,55,0,0,0,0
NDH,1597017600,68,65,2,0,0,0
SHK,1597017600,73,70,3,0,0,0
SHL,1597017600,21,19,2,0,0,0
SLF,1597017600,72,72,0,0,0,0
SM,1597017600,175,160,5,0,1,0
SOK,1597017600,156,140,12,0,1,0
SOM,1597017600,44,41,1,0,0,0
SON,1597017600,309,287,22,0,0,0
UH,1597017600,92,89,3,0,0,0
WAK,1597017600,98,91,2,0,1,0
WE,1597017600,94,90,0,0,2,0
TH,1597017600,3432,3181,183,5,5,0
