Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1590710400,71,56,3,1,0,0
AP,1590710400,73,69,4,0,0,0
EA,1590710400,28,24,2,0,0,0
EF,1590710400,137,133,2,0,0,0
EIC,1590710400,154,134,8,3,1,0
G,1590710400,232,183,15,1,0,1
GRZ,1590710400,622,520,45,2,4,0
GTH,1590710400,297,241,30,0,-1,0
HBN,1590710400,45,28,1,3,0,0
IK,1590710400,135,125,5,1,0,1
J,1590710400,159,155,3,0,0,0
KYF,1590710400,45,45,0,0,0,0
NDH,1590710400,61,59,2,0,0,0
SHK,1590710400,71,64,3,0,0,0
SHL,1590710400,19,12,2,0,0,0
SLF,1590710400,71,66,0,0,0,0
SM,1590710400,130,107,3,0,1,0
SOK,1590710400,148,130,12,1,3,0
SOM,1590710400,37,36,1,0,0,0
SON,1590710400,220,168,14,3,5,0
UH,1590710400,79,73,4,1,0,0
WAK,1590710400,72,53,2,0,2,0
WE,1590710400,68,65,0,0,0,0
TH,1590710400,2974,2546,161,16,15,2
