Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1596153600,79,75,4,0,0,0
AP,1596153600,78,71,4,1,0,0
EA,1596153600,35,28,2,1,0,0
EF,1596153600,142,138,2,0,0,0
EIC,1596153600,162,153,9,0,0,0
G,1596153600,262,238,22,0,0,0
GRZ,1596153600,668,620,48,0,0,0
GTH,1596153600,319,288,30,0,0,0
HBN,1596153600,84,79,1,0,3,0
IK,1596153600,146,137,6,0,0,0
J,1596153600,163,160,3,0,0,0
KYF,1596153600,55,53,0,0,1,0
NDH,1596153600,67,65,2,0,0,0
SHK,1596153600,73,70,3,0,0,0
SHL,1596153600,21,19,2,0,0,0
SLF,1596153600,72,72,0,0,0,0
SM,1596153600,167,156,4,4,1,0
SOK,1596153600,151,138,12,0,0,0
SOM,1596153600,43,40,1,0,0,0
SON,1596153600,306,284,22,0,0,0
UH,1596153600,92,89,3,0,0,0
WAK,1596153600,94,87,2,2,0,0
WE,1596153600,90,77,0,0,0,0
TH,1596153600,3369,3137,182,8,5,0
