Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1611100800,4058,2607,84,53,154,7
AP,1611100800,1727,1340,23,42,20,1
EA,1611100800,830,642,27,17,10,5
EF,1611100800,3967,3311,107,84,37,0
EIC,1611100800,3038,2590,96,0,49,0
G,1611100800,2626,2209,102,40,36,1
GRZ,1611100800,3063,2592,96,40,33,0
GTH,1611100800,3098,2393,109,66,67,3
HBN,1611100800,3078,2486,106,31,60,0
IK,1611100800,2769,2352,93,31,33,2
J,1611100800,2399,1893,30,66,25,0
KYF,1611100800,1618,1299,50,35,14,2
NDH,1611100800,1304,1076,36,18,16,1
SHK,1611100800,2276,1726,55,40,47,1
SHL,1611100800,1020,846,49,9,34,0
SLF,1611100800,3676,2964,127,69,66,10
SM,1611100800,4156,3373,143,66,60,2
SOK,1611100800,2863,2313,62,58,37,0
SOM,1611100800,1696,1419,54,17,21,2
SON,1611100800,2406,2053,100,23,35,2
UH,1611100800,3609,2560,125,45,89,11
WAK,1611100800,3078,2426,80,58,6,25
WE,1611100800,1389,1153,54,23,25,0
TH,1611100800,59744,47623,1808,931,974,75
