Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1589328000,59,49,3,0,0,0
AP,1589328000,73,66,4,0,0,0
EA,1589328000,26,16,2,0,0,1
EF,1589328000,135,130,2,0,1,0
EIC,1589328000,139,118,6,2,3,0
G,1589328000,186,142,9,3,0,1
GRZ,1589328000,553,404,38,15,10,0
GTH,1589328000,270,206,23,1,7,2
HBN,1589328000,32,23,1,0,1,0
IK,1589328000,129,119,4,0,4,0
J,1589328000,158,155,3,0,0,0
KYF,1589328000,44,40,0,1,0,0
NDH,1589328000,60,58,1,0,0,0
SHK,1589328000,66,53,2,0,1,0
SHL,1589328000,13,11,2,0,0,0
SLF,1589328000,66,61,0,0,1,0
SM,1589328000,115,92,3,1,2,0
SOK,1589328000,136,109,12,1,2,0
SOM,1589328000,37,36,1,0,0,0
SON,1589328000,161,100,11,6,3,1
UH,1589328000,78,70,2,0,0,0
WAK,1589328000,51,40,2,0,2,0
WE,1589328000,65,63,0,0,1,0
TH,1589328000,2652,2161,131,30,38,5
