Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1594080000,76,71,4,0,0,0
AP,1594080000,75,70,4,1,0,0
EA,1594080000,30,28,2,0,0,0
EF,1594080000,140,137,2,0,0,0
EIC,1594080000,162,150,9,1,0,0
G,1594080000,259,234,22,0,-1,1
GRZ,1594080000,668,615,48,0,0,0
GTH,1594080000,315,281,30,0,0,0
HBN,1594080000,78,64,1,1,1,0
IK,1594080000,136,130,6,0,0,0
J,1594080000,161,158,3,0,0,0
KYF,1594080000,52,52,0,0,0,0
NDH,1594080000,66,64,2,0,0,0
SHK,1594080000,73,70,3,0,1,0
SHL,1594080000,21,18,2,0,0,0
SLF,1594080000,72,71,0,0,0,0
SM,1594080000,158,145,4,2,0,0
SOK,1594080000,150,138,12,0,0,0
SOM,1594080000,38,36,1,0,0,0
SON,1594080000,304,276,22,0,1,0
UH,1594080000,92,89,3,0,0,0
WAK,1594080000,88,84,2,1,0,0
WE,1594080000,69,69,0,0,0,0
TH,1594080000,3283,3050,182,6,2,1
