timestamp,id,name,faelle,statusLowCare,statusHighCare,statusECMO
1585795674,772165,"Elisabeth Klinikum Schmalkalden GmbH",0,0,0,-1
1585809572,771973,"Zentralklinik Bad Berka GmbH",3,1,1,1
1585813935,771875,"m&i-Fachklinik Bad Liebenstein, Hauptstandort",0,2,2,-1
1585887465,771939,"Sophien- und Hufeland-Klinikum gGmbH",0,1,1,-1
1586164088,771547,"Lungenklinik Neustadt",5,1,1,0
1586218647,771095,"HELIOS Klinikum Meiningen GmbH, Meiningen",0,1,1,-1
1586262127,771721,"Henneberg-Kliniken-Betriebsgesellschaft mbH, Hauptstandort Hildburghausen",0,1,1,-1
1586264182,772621,"Thüringen Kliniken 'Georgius Agricola' GmbH, Standort  Saalfeld",1,1,1,-1
1586277167,771725,"MEDINOS Kliniken des Landkreises Sonneberg GmbH, Standort Sonneberg",0,2,1,-1
1586284783,772244,"Helios Klinik Blankenhain",0,1,1,-1
1586312002,773357,"SRH Zentralklinikum Suhl GmbH, Hauptstandort",4,1,1,-1
1586316428,772860,"Robert-Koch-Krankenhaus Apolda GmbH, Hauptstandort",0,1,1,-1
1586317132,772251,"Katholisches Krankenhaus 'St. Johann Nepomuk' Erfurt",2,-1,1,-1
1586318138,771652,"Waldkliniken Eisenberg GmbH, Hauptstandort",1,-1,1,-1
1586319228,772308,"St. Georg Klinikum Eisenach gGmbH, St. Georg Klinikum Eisenach",3,1,1,-1
1586320114,773583,"Ilm-Kreis-Kliniken Arnstadt-Ilmenau gGmbH, Standort Ilmenau",0,1,1,-1
1586322552,773594,"Ilm-Kreis-Kliniken Arnstadt-Ilmenau gGmbH, Standort Arnstadt",1,1,1,-1
1586323553,773479,"Klinikum Altenburger Land GmbH, Klinikum Altenburger Land",2,1,1,-1
1586328635,772539,"Klinikum Bad Salzungen GmbH",2,1,1,-1
1586330762,772368,"Helios Klinikum Gotha, Gotha",0,1,1,-1
1586331956,771236,"Hufeland Klinikum GmbH, Bad Langensalza",0,1,-1,-1
1586332040,771235,"Hufeland Klinikum GmbH, Mühlhausen",2,1,1,-1
1586340051,773340,"KMG Klinikum Thueringen Brandenburg gGmbH, KMG Klinikum Sondershausen",0,-1,-1,-1
1586349895,773690,"SRH Wald-Klinikum Gera, Hauptstandort",2,-1,1,-1
1586351975,771835,"Helios Klinikum Erfurt GmbH",9,1,1,1
1586352392,772874,"Universitätsklinikum Jena, Standort Jena Lobeda",2,1,1,1
1586362913,772698,"Kreiskrankenhaus Greiz GmbH",7,0,1,-1
